ticket_id,date,category,priority,resolution_time,repeated_issue,after_hours,is_breach
T0105,2023-10-16,Slow Performance,Critical,10,False,False,True
T0106,2023-11-13,Access Request,Low,32,True,False,False
T0107,2023-08-08,Malware Alert,Critical,58,False,False,False
T0108,2023-12-05,Access Request,Low,13,False,True,False
T0109,2023-08-19,Login Issue,Medium,31,True,True,True
T0110,2023-08-21,Data Export,Critical,38,True,False,True
T0111,2023-04-12,Login Issue,Medium,34,False,False,False
T0112,2023-03-14,Slow Performance,Low,70,True,True,False
T0113,2023-05-28,Login Issue,Low,22,False,False,False
T0114,2023-09-14,Slow Performance,Low,60,False,False,False
T0115,2023-06-15,Phishing Email,Critical,57,True,True,True
T0116,2023-10-22,Phishing Email,High,4,True,False,False
T0117,2023-09-23,Phishing Email,Low,35,False,False,True
T0118,2023-09-09,Data Export,Critical,36,True,False,False
T0119,2023-03-24,Login Issue,Critical,45,False,False,True
T0120,2023-10-09,Access Request,Critical,64,True,False,False
T0121,2023-07-26,Login Issue,Critical,12,False,False,False
T0122,2023-11-15,Phishing Email,Low,70,False,True,False
T0123,2023-08-13,Slow Performance,Critical,7,True,False,False
T0124,2023-12-30,Data Export,Critical,16,True,False,False
T0125,2023-02-28,Malware Alert,High,71,True,False,True
T0126,2023-05-20,Slow Performance,Low,20,False,False,False
T0127,2023-11-03,Slow Performance,Critical,61,True,False,False
T0128,2023-09-17,Phishing Email,Medium,9,True,False,True
T0129,2023-12-04,Access Request,Low,37,False,False,False
T0130,2023-10-06,Slow Performance,Medium,58,False,False,False
T0131,2023-07-16,Slow Performance,Critical,42,False,False,False
T0132,2023-07-15,Malware Alert,Critical,6,False,False,False
T0133,2023-06-19,Slow Performance,Medium,64,False,True,False
T0134,2023-07-29,Login Issue,Critical,13,False,False,False
T0135,2023-12-21,Data Export,Medium,10,False,False,False
T0136,2023-06-12,Slow Performance,Low,43,False,False,False
T0137,2023-05-28,Data Export,Critical,70,True,True,False
T0138,2023-02-21,Malware Alert,Low,56,False,False,False
T0139,2023-05-31,Slow Performance,Medium,39,False,True,False
T0140,2023-04-03,Access Request,High,56,True,False,False
T0141,2023-09-12,Malware Alert,Medium,11,False,False,False
T0142,2023-01-05,Phishing Email,Medium,30,False,False,True
T0143,2023-10-28,Slow Performance,High,70,True,False,False
T0144,2023-09-05,Access Request,Critical,33,False,False,False
T0145,2023-06-01,Login Issue,Medium,49,False,False,False
T0146,2023-01-26,Login Issue,Critical,36,True,False,False
T0147,2023-04-23,Phishing Email,Critical,37,False,True,False
T0148,2023-03-12,Data Export,Medium,33,False,False,False
T0149,2023-03-09,Data Export,Low,6,False,False,False
T0150,2023-10-04,Login Issue,High,42,False,True,True
T0151,2023-06-01,Access Request,High,22,True,False,False
T0152,2023-04-26,Data Export,High,15,False,True,False
T0153,2023-10-02,Data Export,Critical,72,False,False,True
T0154,2023-11-23,Login Issue,Critical,48,False,False,False
T0155,2023-06-17,Access Request,Low,30,False,False,False
T0156,2023-11-29,Phishing Email,Medium,9,False,False,False
T0157,2023-03-01,Slow Performance,Low,18,True,True,False
T0158,2023-12-23,Login Issue,Medium,69,True,False,False
T0159,2023-11-12,Phishing Email,Critical,20,False,False,False
T0160,2023-05-01,Slow Performance,High,5,False,True,False
T0161,2023-07-23,Access Request,Low,48,False,False,False
T0162,2023-04-19,Access Request,Medium,16,False,False,False
T0163,2023-10-17,Data Export,Low,7,False,True,True
T0164,2023-06-18,Malware Alert,Low,71,True,True,False
T0165,2023-05-09,Malware Alert,Low,36,False,True,True
T0166,2023-10-29,Malware Alert,Low,4,True,False,False
T0167,2023-02-28,Access Request,Low,23,True,True,False
T0168,2023-08-20,Data Export,Low,61,False,False,False
T0169,2023-06-04,Phishing Email,Medium,6,False,False,False
T0170,2023-02-25,Slow Performance,Low,8,False,False,False
T0171,2023-03-06,Slow Performance,Critical,10,False,False,True
T0172,2023-11-06,Access Request,High,49,False,False,False
T0173,2023-04-21,Slow Performance,Low,15,False,False,False
T0174,2023-02-18,Slow Performance,Critical,30,False,False,False
T0175,2023-08-31,Access Request,Critical,41,False,False,True
T0176,2023-03-08,Login Issue,Low,11,True,True,False
T0177,2023-12-07,Phishing Email,Low,72,False,False,False
T0178,2023-04-19,Slow Performance,Low,37,False,False,False
T0179,2023-02-28,Malware Alert,Critical,29,False,False,False
T0180,2023-11-11,Access Request,Medium,55,False,False,False
T0181,2023-06-23,Data Export,Low,35,True,False,False
T0182,2023-03-14,Access Request,Low,24,False,False,False
T0183,2023-06-24,Data Export,Low,12,False,True,False
T0184,2023-02-13,Malware Alert,High,40,False,False,False
T0185,2023-08-15,Login Issue,Medium,21,False,True,True
T0186,2023-09-20,Data Export,Critical,63,False,False,False
T0187,2023-09-27,Login Issue,High,56,True,False,False
T0188,2023-04-15,Data Export,High,6,True,False,True
T0189,2023-09-12,Access Request,Medium,18,False,False,False
T0190,2023-10-14,Data Export,Critical,23,True,False,True
T0191,2023-08-24,Data Export,High,10,False,False,False
T0192,2023-02-28,Login Issue,High,55,False,False,False
T0193,2023-12-20,Slow Performance,Low,42,True,False,False
T0194,2023-09-26,Access Request,Low,56,False,True,False
T0195,2023-02-09,Login Issue,Critical,40,False,True,False
T0196,2023-11-27,Phishing Email,Low,68,False,False,True
T0197,2023-12-02,Malware Alert,Medium,14,True,True,False
T0198,2023-12-15,Login Issue,Medium,64,False,False,False
T0199,2023-06-05,Phishing Email,High,41,True,True,True
T0200,2023-01-30,Access Request,Low,46,False,False,False
T0201,2023-11-01,Access Request,High,10,False,False,True
T0202,2023-01-22,Phishing Email,Critical,60,False,False,False
T0203,2023-08-19,Slow Performance,Medium,42,False,False,False
T0204,2023-08-13,Login Issue,High,11,False,True,True
T0205,2023-06-23,Slow Performance,Medium,47,False,False,False
T0206,2023-05-26,Data Export,Low,43,True,True,False
T0207,2023-06-08,Access Request,Medium,43,True,False,False
T0208,2023-07-12,Data Export,Critical,17,False,False,False
T0209,2023-12-17,Data Export,High,17,False,False,False
T0210,2023-04-20,Phishing Email,Low,55,False,True,True
T0211,2023-02-21,Access Request,Critical,25,True,True,True
T0212,2023-03-20,Phishing Email,Low,44,False,False,False
T0213,2023-05-02,Malware Alert,Medium,22,False,True,True
T0214,2023-08-29,Slow Performance,High,58,True,True,False
T0215,2023-09-28,Malware Alert,High,57,False,False,True
T0216,2023-11-25,Slow Performance,Medium,26,False,True,False
T0217,2023-03-05,Slow Performance,High,71,False,False,False
T0218,2023-08-12,Access Request,Low,21,True,False,True
T0219,2023-07-22,Login Issue,Medium,58,False,False,False
T0220,2023-06-13,Phishing Email,High,31,False,True,True
T0221,2023-12-23,Login Issue,High,19,True,False,False
T0222,2023-04-21,Malware Alert,Critical,58,False,False,True
T0223,2023-05-03,Malware Alert,Critical,15,False,True,True
T0224,2023-01-09,Slow Performance,Critical,9,True,False,False
T0225,2023-10-20,Data Export,Medium,19,True,True,False
T0226,2023-10-06,Slow Performance,Medium,11,False,False,False
T0227,2023-07-11,Phishing Email,Low,50,False,True,True
T0228,2023-11-18,Access Request,Low,46,False,False,False
T0229,2023-03-31,Login Issue,High,18,True,False,False
T0230,2023-08-23,Data Export,Critical,62,False,False,True
T0231,2023-06-08,Login Issue,High,26,True,True,True
T0232,2023-05-27,Phishing Email,Critical,70,False,True,False
T0233,2023-07-24,Access Request,Low,43,True,False,False
T0234,2023-07-08,Data Export,Critical,50,False,True,False
T0235,2023-04-03,Phishing Email,High,11,False,True,False
T0236,2023-08-17,Phishing Email,High,42,True,False,True
T0237,2023-06-30,Phishing Email,Critical,22,False,False,True
T0238,2023-12-10,Phishing Email,Critical,36,False,False,True
T0239,2023-01-16,Data Export,Critical,47,False,False,True
T0240,2023-07-05,Malware Alert,Critical,5,True,True,True
T0241,2023-02-09,Slow Performance,Low,20,False,False,False
T0242,2023-02-28,Phishing Email,Medium,68,False,False,True
T0243,2023-05-14,Login Issue,Medium,64,False,False,False
T0244,2023-09-09,Data Export,Critical,28,False,False,False
T0245,2023-08-16,Malware Alert,Low,18,False,False,False
T0246,2023-06-03,Login Issue,High,45,False,False,False
T0247,2023-03-13,Malware Alert,Medium,47,False,True,True
T0248,2023-10-10,Malware Alert,Critical,4,False,False,True
T0249,2023-09-27,Malware Alert,Low,9,False,False,False
T0250,2023-08-27,Slow Performance,Critical,10,True,False,True
T0251,2023-04-04,Data Export,High,17,False,False,False
T0252,2023-03-20,Malware Alert,Critical,65,False,True,True
T0253,2023-09-23,Access Request,Medium,21,False,False,False
T0254,2023-11-17,Access Request,Low,33,True,False,False
T0255,2023-03-29,Access Request,Low,65,False,False,False
T0256,2023-11-25,Data Export,High,6,False,True,True
T0257,2023-09-12,Phishing Email,High,27,False,False,False
T0258,2023-06-02,Data Export,High,39,False,False,False
T0259,2023-06-24,Slow Performance,Low,8,True,False,False
T0260,2023-06-26,Phishing Email,Medium,41,False,False,False
T0261,2023-03-04,Slow Performance,Medium,48,False,True,False
T0262,2023-11-12,Access Request,Critical,32,True,True,False
T0263,2023-04-08,Slow Performance,Medium,21,False,False,False
T0264,2023-02-16,Malware Alert,Critical,66,False,False,True
T0265,2023-09-11,Slow Performance,Critical,31,True,False,True
T0266,2023-05-16,Phishing Email,Critical,37,False,False,True
T0267,2023-04-10,Data Export,High,52,False,False,False
T0268,2023-11-16,Access Request,High,10,False,False,False
T0269,2023-06-23,Data Export,Low,17,False,False,False
T0270,2023-01-24,Phishing Email,High,19,True,False,True
T0271,2023-09-21,Login Issue,Medium,43,False,False,False
T0272,2023-06-03,Malware Alert,High,41,True,False,False
T0273,2023-06-03,Phishing Email,High,65,False,False,False
T0274,2023-06-07,Slow Performance,Low,48,False,True,False
T0275,2023-10-24,Data Export,Low,61,True,False,False
T0276,2023-11-14,Phishing Email,Medium,7,False,True,False
T0277,2023-01-10,Slow Performance,Medium,32,True,False,True
T0278,2023-11-10,Slow Performance,High,54,True,False,False
T0279,2023-09-02,Slow Performance,Low,18,False,False,False
T0280,2023-10-07,Phishing Email,Critical,41,False,False,False
T0281,2023-04-26,Access Request,High,62,True,True,False
T0282,2023-10-14,Access Request,High,27,False,False,False
T0283,2023-07-22,Data Export,High,37,True,False,False
T0284,2023-08-15,Access Request,Medium,38,True,False,True
T0285,2023-10-15,Data Export,High,62,True,False,True
T0286,2023-01-26,Data Export,High,18,True,False,True
T0287,2023-02-21,Data Export,Medium,30,True,False,False
T0288,2023-12-01,Data Export,Medium,1,False,False,False
T0289,2023-01-31,Slow Performance,Critical,26,False,False,False
T0290,2023-03-31,Login Issue,Medium,69,False,False,True
T0291,2023-05-29,Slow Performance,Medium,5,False,False,False
T0292,2023-05-26,Login Issue,Low,39,False,True,False
T0293,2023-02-27,Slow Performance,Critical,18,False,False,True
T0294,2023-06-22,Access Request,Medium,59,False,False,True
T0295,2023-08-07,Access Request,Medium,23,False,False,False
T0296,2023-09-02,Phishing Email,High,12,False,True,False
T0297,2023-06-18,Access Request,Medium,1,True,True,False
T0298,2023-03-02,Access Request,Low,34,False,False,False
T0299,2023-12-27,Slow Performance,High,21,False,False,False
T0300,2023-09-02,Access Request,Low,38,False,True,False
T0301,2023-10-03,Malware Alert,Critical,48,False,False,True
T0302,2023-09-27,Data Export,Medium,32,False,False,False
T0303,2023-09-16,Slow Performance,High,10,False,True,False
T0304,2023-04-16,Malware Alert,Medium,22,False,False,True
T0305,2023-03-09,Data Export,Critical,12,False,False,True
T0306,2023-06-07,Phishing Email,Critical,59,False,False,False
T0307,2023-02-07,Data Export,Low,51,True,True,True
T0308,2023-02-05,Login Issue,Critical,45,False,False,True
T0309,2023-11-27,Slow Performance,Low,37,False,False,False
T0310,2023-02-11,Slow Performance,High,49,False,False,False
T0311,2023-03-07,Data Export,Medium,45,True,False,False
T0312,2023-10-06,Data Export,Medium,1,False,False,False
T0313,2023-02-27,Slow Performance,Critical,30,True,False,True
T0314,2023-08-17,Login Issue,Critical,3,True,True,False
T0315,2023-04-22,Phishing Email,Low,32,False,False,True
T0316,2023-10-22,Login Issue,Medium,65,False,True,False
T0317,2023-04-24,Access Request,High,31,False,True,False
T0318,2023-03-31,Slow Performance,High,36,True,False,False
T0319,2023-12-10,Data Export,Critical,72,False,False,False
T0320,2023-10-03,Slow Performance,High,54,False,False,True
T0321,2023-01-30,Slow Performance,Medium,29,False,False,False
T0322,2023-04-15,Phishing Email,Critical,54,False,True,True
T0323,2023-04-08,Access Request,Low,58,False,True,False
T0324,2023-04-07,Login Issue,High,49,False,False,False
T0325,2023-01-08,Phishing Email,Medium,62,True,False,True
T0326,2023-12-23,Malware Alert,Medium,16,False,False,False
T0327,2023-07-14,Phishing Email,Medium,51,False,False,False
T0328,2023-02-20,Slow Performance,High,40,True,False,False
T0329,2023-10-16,Data Export,Critical,41,False,False,False
T0330,2023-08-02,Malware Alert,Medium,3,True,False,False
T0331,2023-09-13,Access Request,Medium,26,False,False,False
T0332,2023-09-09,Phishing Email,High,33,False,False,False
T0333,2023-10-05,Slow Performance,Medium,46,True,False,False
T0334,2023-12-09,Data Export,Low,68,True,False,False
T0335,2023-03-19,Login Issue,Low,53,True,False,True
T0336,2023-11-12,Login Issue,Medium,65,False,True,False
T0337,2023-09-29,Slow Performance,Critical,3,True,False,True
T0338,2023-12-12,Data Export,High,69,False,True,False
T0339,2023-11-14,Slow Performance,Medium,14,False,False,False
T0340,2023-07-27,Phishing Email,High,46,True,False,True
T0341,2023-11-29,Slow Performance,Medium,29,True,False,True
T0342,2023-01-05,Login Issue,Low,52,False,False,False
T0343,2023-10-17,Data Export,Medium,11,False,False,False
T0344,2023-09-01,Login Issue,Low,30,True,False,False
T0345,2023-12-03,Access Request,Low,10,False,False,False
T0346,2023-12-31,Login Issue,Medium,41,True,True,True
T0347,2023-07-19,Slow Performance,Low,39,True,True,False
T0348,2023-02-10,Data Export,High,50,False,True,False
T0349,2023-11-06,Phishing Email,High,7,True,True,True
T0350,2023-09-09,Phishing Email,Critical,42,True,False,False
T0351,2023-12-05,Malware Alert,High,71,False,False,False
T0352,2023-03-20,Slow Performance,Low,38,False,False,False
T0353,2023-06-07,Slow Performance,Medium,50,False,True,True
T0354,2023-10-13,Slow Performance,High,35,True,True,False
T0355,2023-11-03,Phishing Email,Critical,14,True,False,True
T0356,2023-10-14,Access Request,Critical,2,True,False,True
T0357,2023-03-16,Malware Alert,Medium,49,True,False,True
T0358,2023-07-04,Login Issue,Medium,56,True,False,False
T0359,2023-06-05,Access Request,Medium,64,False,True,True
T0360,2023-08-14,Login Issue,Critical,43,False,False,False
T0361,2023-09-03,Access Request,Critical,18,False,False,False
T0362,2023-09-09,Access Request,Medium,51,False,False,False
T0363,2023-02-28,Phishing Email,Medium,42,False,False,False
T0364,2023-08-25,Phishing Email,Medium,70,True,False,True
T0365,2023-07-29,Data Export,Medium,57,False,False,False
T0366,2023-08-05,Data Export,Critical,18,False,True,False
T0367,2023-09-17,Slow Performance,Low,58,False,False,False
T0368,2023-10-02,Data Export,Critical,70,True,False,False
T0369,2023-11-28,Phishing Email,Low,14,False,False,False
T0370,2023-02-24,Phishing Email,Low,52,False,False,False
T0371,2023-12-19,Login Issue,Low,34,True,False,False
T0372,2023-12-20,Phishing Email,Medium,58,False,False,False
T0373,2023-02-13,Phishing Email,Medium,45,False,False,True
T0374,2023-09-05,Login Issue,Medium,45,False,False,False
T0375,2023-06-03,Access Request,Critical,13,False,False,False
T0376,2023-03-26,Login Issue,Low,3,False,False,False
T0377,2023-08-25,Data Export,Medium,67,True,True,False
T0378,2023-11-11,Malware Alert,Critical,24,True,False,True
T0379,2023-12-27,Malware Alert,Critical,55,False,False,True
T0380,2023-05-15,Login Issue,Low,69,True,False,False
T0381,2023-07-20,Data Export,Critical,68,False,False,False
T0382,2023-12-11,Phishing Email,Low,45,False,False,True
T0383,2023-03-01,Data Export,High,11,False,False,False
T0384,2023-07-16,Malware Alert,High,19,False,False,True
T0385,2023-03-30,Slow Performance,Medium,63,False,False,False
T0386,2023-11-14,Phishing Email,Medium,63,True,True,False
T0387,2023-10-15,Login Issue,High,2,False,True,False
T0388,2023-09-08,Phishing Email,Critical,53,False,False,False
T0389,2023-04-26,Malware Alert,Low,4,False,True,True
T0390,2023-09-11,Phishing Email,High,22,False,False,False
T0391,2023-10-05,Phishing Email,Low,15,True,False,False
T0392,2023-12-01,Login Issue,Critical,70,True,False,False
T0393,2023-08-13,Malware Alert,High,5,False,False,False
T0394,2023-12-30,Login Issue,Medium,27,False,False,False
T0395,2023-01-31,Phishing Email,Critical,22,False,False,False
T0396,2023-12-27,Phishing Email,High,69,True,False,True
T0397,2023-02-18,Access Request,High,35,False,False,False
T0398,2023-03-09,Malware Alert,Critical,8,False,False,True
T0399,2023-09-08,Malware Alert,Medium,42,False,False,False
T0400,2023-02-17,Malware Alert,High,54,False,True,False
T0401,2023-02-17,Slow Performance,High,48,False,False,False
T0402,2023-08-08,Data Export,Critical,46,False,False,False
T0403,2023-03-08,Malware Alert,Critical,35,False,False,False
T0404,2023-11-17,Phishing Email,Critical,44,False,False,True
T0405,2023-08-08,Slow Performance,Low,16,False,True,False
T0406,2023-12-02,Malware Alert,Medium,39,True,False,True
T0407,2023-07-22,Access Request,High,11,False,False,True
T0408,2023-04-20,Data Export,High,30,False,True,True
T0409,2023-01-05,Slow Performance,Low,17,False,False,False
T0410,2023-02-06,Data Export,High,16,False,False,True
T0411,2023-06-03,Malware Alert,Critical,12,False,True,True
T0412,2023-10-16,Malware Alert,Critical,18,False,False,True
T0413,2023-07-30,Login Issue,Medium,57,False,True,False
T0414,2023-10-29,Phishing Email,Critical,28,True,True,False
T0415,2023-05-22,Data Export,Critical,45,False,False,True
T0416,2023-12-20,Data Export,Low,32,False,False,False
T0417,2023-06-01,Login Issue,High,27,False,False,False
T0418,2023-11-01,Data Export,Low,31,False,True,False
T0419,2023-10-19,Login Issue,Low,47,False,True,False
T0420,2023-02-07,Slow Performance,High,70,False,False,False
T0421,2023-07-23,Login Issue,Low,2,True,True,True
T0422,2023-11-24,Phishing Email,High,65,False,False,True
T0423,2023-03-21,Phishing Email,Medium,36,True,True,False
T0424,2023-11-26,Phishing Email,High,51,False,False,False
T0425,2023-02-14,Login Issue,High,56,False,False,True
T0426,2023-12-03,Slow Performance,Low,59,False,True,False
T0427,2023-09-12,Data Export,Medium,16,True,True,True
T0428,2023-03-02,Access Request,High,22,False,False,False
T0429,2023-10-23,Login Issue,High,55,True,True,False
T0430,2023-10-18,Data Export,Low,64,False,False,False
T0431,2023-03-01,Malware Alert,High,21,True,True,True
T0432,2023-07-06,Malware Alert,Low,6,False,True,True
T0433,2023-12-02,Slow Performance,Medium,23,False,False,False
T0434,2023-02-09,Slow Performance,Medium,42,True,False,False
T0435,2023-09-22,Phishing Email,High,16,False,False,True
T0436,2023-06-09,Login Issue,Critical,9,False,False,False
T0437,2023-06-05,Access Request,Low,71,False,False,False
T0438,2023-04-11,Data Export,Medium,60,False,False,False
T0439,2023-06-27,Data Export,Medium,20,True,False,False
T0440,2023-06-07,Data Export,Low,43,True,False,False
T0441,2023-03-14,Login Issue,Medium,68,False,False,False
T0442,2023-07-31,Data Export,High,12,True,True,False
T0443,2023-03-10,Data Export,High,59,False,True,True
T0444,2023-03-08,Data Export,Critical,10,False,True,False
T0445,2023-06-17,Malware Alert,High,34,False,False,True
T0446,2023-10-27,Access Request,Critical,35,True,False,True
T0447,2023-10-02,Login Issue,Medium,14,True,False,False
T0448,2023-03-22,Access Request,Medium,58,False,False,False
T0449,2023-12-31,Data Export,High,6,True,False,True
T0450,2023-03-31,Malware Alert,High,51,False,False,True
T0451,2023-02-22,Login Issue,Critical,58,False,False,True
T0452,2023-04-12,Malware Alert,Low,2,True,False,True
T0453,2023-01-12,Slow Performance,High,11,False,False,False
T0454,2023-06-19,Login Issue,Medium,57,False,True,False
T0455,2023-07-22,Login Issue,Low,60,True,False,False
T0456,2023-04-06,Slow Performance,Low,49,False,True,False
T0457,2023-05-06,Access Request,High,58,False,True,False
T0458,2023-05-24,Data Export,High,64,False,False,True
T0459,2023-11-19,Slow Performance,Medium,54,True,False,False
T0460,2023-09-06,Phishing Email,Low,49,False,False,False
T0461,2023-01-16,Access Request,High,50,True,True,False
T0462,2023-03-23,Access Request,Low,61,False,False,False
T0463,2023-01-29,Login Issue,Medium,31,True,False,False
T0464,2023-05-02,Malware Alert,Critical,46,False,False,True
T0465,2023-10-18,Phishing Email,High,46,False,True,False
T0466,2023-10-05,Phishing Email,Medium,25,False,False,False
T0467,2023-01-11,Access Request,Medium,63,True,True,False
T0468,2023-06-24,Phishing Email,Critical,1,False,False,False
T0469,2023-03-14,Data Export,Medium,42,True,True,False
T0470,2023-02-21,Login Issue,High,10,False,False,False
T0471,2023-11-24,Access Request,High,42,True,True,False
T0472,2023-11-11,Slow Performance,High,23,False,False,False
T0473,2023-04-01,Access Request,Medium,23,False,False,False
T0474,2023-04-04,Data Export,Low,51,False,False,False
T0475,2023-06-19,Phishing Email,High,29,False,True,True
T0476,2023-02-15,Data Export,Low,31,False,False,False
T0477,2023-06-29,Data Export,High,58,True,True,False
T0478,2023-03-27,Access Request,Low,1,True,False,False
T0479,2023-10-23,Slow Performance,Critical,49,False,False,False
T0480,2023-01-11,Data Export,Medium,21,False,False,True
T0481,2023-02-08,Access Request,High,14,True,True,True
T0482,2023-01-16,Phishing Email,Low,44,False,False,False
T0483,2023-04-08,Slow Performance,Medium,56,True,True,True
T0484,2023-10-09,Slow Performance,High,37,True,True,True
T0485,2023-12-05,Slow Performance,Medium,7,False,False,False
T0486,2023-02-11,Data Export,Critical,26,True,True,False
T0487,2023-05-16,Slow Performance,Low,40,False,False,False
T0488,2023-01-23,Login Issue,Critical,24,False,False,True
T0489,2023-03-19,Access Request,Critical,60,True,False,False
T0490,2023-10-29,Data Export,Low,11,False,False,False
